circuit_id,circuit_name,circuit_locality,circuit_country,circuit_type,lap_length_km,altitude_m,downforce_score,speed_score,technical_score,overtaking_score,downforce_level,speed_profile,technical_level,overtaking_level,lap_length_bucket,altitude_bucket,is_street_circuit,is_permanent_circuit,is_hybrid_circuit,downforce_zscore,speed_zscore,technical_zscore,overtaking_zscore,downforce_percentile,speed_percentile,technical_percentile,overtaking_percentile,high_downforce_estimate,low_downforce_estimate,high_speed_estimate,low_speed_estimate,high_technical_estimate,low_technical_estimate,overtaking_friendly_estimate,overtaking_difficult_estimate,lap_length_zscore,altitude_zscore,long_lap_estimate,short_lap_estimate,high_altitude_estimate,low_altitude_estimate,driver_precision_index,power_speed_index,setup_compromise_index,passing_opportunity_index,track_profile_tags,score_confidence,rating_methodology,rating_scale_definition,rating_evidence_summary,lap_length_source,altitude_source,classification_source,specific_research_sources,global_research_sources_used,notes,metadata_confidence
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,hybrid,5.278,7,6,7,6,6,medium,balanced,medium,moderate,medium,low,0,0,1,0.09539051339847819,-0.19136829313483275,-0.5893689584893056,0.11150512337988988,0.5394736842105263,0.35526315789473684,0.34210526315789475,0.5,0,0,0,0,0,0,0,0,0.16905507498358585,-0.5546271519243939,0,0,0,1,-0.3026101519559946,-0.28675880653331093,0.8761277650226165,0.11150512337988988,hybrid,medium,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Parkland/semi-street circuit; medium-high speed after layout revisions.,https://www.formula1.com/en/racing/2025/australia,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://www.formula1.com/en/racing/2025/australia,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Parkland/semi-street circuit; medium-high speed after layout revisions.,medium
americas,Circuit of the Americas,Austin,USA,permanent,5.513,150,6,7,8,7,medium,balanced,high,easy,long,low,0,1,0,0.09539051339847819,-0.19136829313483275,0.7280440075456133,0.7168186502992924,0.5394736842105263,0.35526315789473684,0.75,0.7368421052631579,0,0,0,0,1,0,1,0,0.49483449224802845,-0.19450719212547452,1,0,0,0,1.0148028140789243,-0.28675880653331093,1.0148028140789243,0.7168186502992924,technical; overtaking-friendly; permanent,high,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Permanent circuit with elevation change and mixed corner profiles.,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Permanent circuit with elevation change and mixed corner profiles.,high
bahrain,Bahrain International Circuit,Sakhir,Bahrain,permanent,5.412,7,5,7,6,8,medium,balanced,medium,easy,medium,low,0,1,0,-0.4224437021932608,-0.19136829313483275,-0.5893689584893056,1.322132177218695,0.34210526315789475,0.35526315789473684,0.34210526315789475,0.9342105263157895,0,0,0,0,0,0,1,0,0.3548186575939491,-0.5546271519243939,0,0,0,1,-0.8204443675477336,0.23107540905842802,1.203180953817399,1.322132177218695,overtaking-friendly; permanent,high,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Permanent circuit with long straights heavy braking and strong overtaking zones.,https://www.formula1.com/en/racing/2025/bahrain,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://www.formula1.com/en/racing/2025/bahrain,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Permanent circuit with long straights heavy braking and strong overtaking zones.,high
baku,Baku City Circuit,Baku,Azerbaijan,street,6.003,-20,3,10,7,7,low,high_speed,medium,easy,long,low,1,0,0,-1.4581121333767388,1.3669163795345205,0.06933752452815384,0.7168186502992924,0.09210526315789473,0.9473684210526315,0.5,0.7368421052631579,0,1,1,0,0,0,1,0,1.174119234629206,-0.6226218296486655,1,0,0,1,-2.7556909883831056,2.8250285129112593,2.894366037439413,0.7168186502992924,low-downforce; high-speed; overtaking-friendly; street,medium,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Street circuit with very long full-throttle section and tight castle-sector constraints.,https://www.formula1.com/en/racing/2025/azerbaijan,estimated from Baku coastal elevation references,analyst-coded estimate; not an official F1 numeric rating,https://www.formula1.com/en/racing/2025/azerbaijan,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Street circuit with very long full-throttle section and tight castle-sector constraints.,medium
buddh,Buddh International Circuit,Uttar Pradesh,India,permanent,5.125,195,6,8,7,6,medium,high_speed,medium,moderate,medium,low,0,1,0,0.09539051339847819,0.32805993108828496,0.06933752452815384,0.11150512337988988,0.5394736842105263,0.6447368421052632,0.5,0.5,0,0,1,0,0,0,0,0,-0.04304812008645464,-0.08118272925168868,0,0,0,0,-0.16333189316165292,0.23266941768980676,0.492787969014917,0.11150512337988988,high-speed; permanent,medium,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Permanent Tilke circuit with long straights and technical multi-apex corners.,https://en.wikipedia.org/wiki/Buddh_International_Circuit,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://en.wikipedia.org/wiki/Buddh_International_Circuit,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Permanent Tilke circuit with long straights and technical multi-apex corners.,medium
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,permanent,4.657,109,8,6,8,4,high,balanced,high,difficult,medium,low,0,1,0,1.131058944581956,-0.7107965173579505,0.7280440075456133,-1.099121930458915,0.881578947368421,0.15789473684210525,0.75,0.17105263157894737,1,0,0,0,1,0,0,1,-0.6918343638301097,-0.2977583694104794,0,1,0,0,2.5698994694855197,-1.8418554619399066,2.5698994694855197,-1.099121930458915,high-downforce; technical; low-overtaking; permanent,high,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Permanent benchmark circuit with aero-sensitive long corners.,https://www.formula1.com/en/racing/2025/spain,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://www.formula1.com/en/racing/2025/spain,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Permanent benchmark circuit with aero-sensitive long corners.,high
fuji,Fuji Speedway,Oyama,Japan,permanent,4.563,550,5,9,7,7,medium,high_speed,medium,easy,medium,medium,0,1,0,-0.4224437021932608,0.8474881553114028,0.06933752452815384,0.7168186502992924,0.34210526315789475,0.8289473684210527,0.5,0.7368421052631579,0,0,1,0,0,0,1,0,-0.8221461307358869,0.812821366752622,0,1,1,0,-1.2005943329765096,1.2699318575046634,1.3392693820328172,0.7168186502992924,high-speed; overtaking-friendly; permanent,medium,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Permanent circuit with one of motorsport's longest straights and a technical final sector; F1 used the modern 4.563 km layout in 2007-2008.,Fuji Speedway source; Grand Prix Circuit 2005-present length 4.563 km.,estimated from circuit/locality elevation references; approximate circuit elevation near Mount Fuji foothills,analyst-coded estimate; not an official F1 numeric rating,Fuji Speedway public circuit references; F1 historical circuit references,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,High-speed permanent circuit with long main straight and more technical final sector; weather variability can be elevated due to Mount Fuji proximity.,medium
hockenheimring,Hockenheimring,Hockenheim,Germany,permanent,4.574,103,5,7,5,7,medium,balanced,low,easy,medium,low,0,1,0,-0.4224437021932608,-0.19136829313483275,-1.248075441506765,0.7168186502992924,0.34210526315789475,0.35526315789473684,0.15789473684210525,0.7368421052631579,0,0,0,0,0,1,1,0,-0.8068968814171257,-0.31286829779365083,0,1,0,0,-1.479150850565193,0.23107540905842802,1.8618874368348584,0.7168186502992924,low-technical; overtaking-friendly; permanent,medium,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Permanent circuit with long acceleration zones and stadium-sector handling demands.,https://en.wikipedia.org/wiki/Hockenheimring,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://en.wikipedia.org/wiki/Hockenheimring,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Permanent circuit with long acceleration zones and stadium-sector handling demands.,medium
hungaroring,Hungaroring,Budapest,Hungary,permanent,4.381,264,9,3,8,3,high,low_speed,high,difficult,short,medium,0,1,0,1.6488931601736951,-2.2690811900273036,0.7280440075456133,-1.7044354573783176,0.9605263157894737,0.06578947368421052,0.75,0.06578947368421052,1,0,0,1,1,0,0,1,-1.074451892191752,0.09258144715478296,0,1,1,0,4.6460183577466125,-3.917974350200999,4.6460183577466125,-1.7044354573783176,high-downforce; low-speed; technical; low-overtaking; permanent,high,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Tight twisty permanent circuit; traditionally high-downforce and difficult to overtake.,https://www.formula1.com/en/racing/2025/hungary,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://www.raceteq.com/articles/2025/05/how-formula-1-teams-set-their-cars-up-for-the-monaco-grand-prix,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Tight twisty permanent circuit; traditionally high-downforce and difficult to overtake.,high
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,permanent,4.909,37,7,7,8,4,medium,balanced,high,difficult,medium,low,0,1,0,0.6132247289902172,-0.19136829313483275,0.7280440075456133,-1.099121930458915,0.7368421052631579,0.35526315789473684,0.75,0.17105263157894737,0,0,0,0,1,0,0,1,-0.34248792489121876,-0.47907751000853677,0,0,0,1,1.5326370296706633,-0.8045930221250499,1.532637029670663,-1.099121930458915,technical; low-overtaking; permanent,medium,"Analyst-estimated 1-10 circuit characteristic rating. Ratings are not official FIA/F1 numeric scores. They are based on circuit layout, lap length, known setup demands, speed profile, overtaking characteristics, and cited circuit/source notes. Derived binary flags and indexes are project-defined transformations of these ratings.",1 = very low presence of characteristic; 5 = moderate/balanced; 10 = extreme/highest presence in F1-style circuit context.,Old-school permanent circuit with narrow sections kerbs and rhythm changes.,https://www.formula1.com/en/racing/2025/emilia-romagna,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,https://www.formula1.com/en/racing/2025/emilia-romagna,Motorsport.com high-downforce/power-track explainer; F1.com circuit guides/statistics pages where available; Pirelli race previews/facts where available; RaceTeq/F1 technical setup articles where available; Wikipedia/Racing circuit pages only for circuits without current official F1 pages.,Old-school permanent circuit with narrow sections kerbs and rhythm changes.,medium
